Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Host,isolation_source,title,env_broad_scale,env_local_scale,env_medium,reactor_id,Sampling_zone,treatment
SRR37374480,WGS,294,5686145503,PRJNA1110178,SAMN55971147,Metagenome or environmental,1825056591,PREBIOMICS S.R.L,2025-01-01,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX32287966,United Kingdom,Europe,United Kingdom: Nottingham,Illumina NovaSeq X Plus,52.9536 N 1.15047 W,UNINOT-012-FL034_V1,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2026-02-26T00:00:00Z,2026-02-26T12:08:00Z,1,UNINOT-012-FL034_V1,SRP506965,Homo sapiens,Gut,UNINOT-012-FL034_V1,,,,,,
SRR37374490,WGS,293,6339343685,PRJNA1110178,SAMN55971138,Metagenome or environmental,2096850556,PREBIOMICS S.R.L,2025-01-01,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX32287956,United Kingdom,Europe,United Kingdom: Nottingham,Illumina NovaSeq X Plus,52.9536 N 1.15047 W,UNINOT-012-INSP070_V2,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2026-02-26T00:00:00Z,2026-02-26T12:33:00Z,1,UNINOT-012-INSP070_V2,SRP506965,Homo sapiens,Gut,UNINOT-012-INSP070_V2,,,,,,
SRR37374505,WGS,295,6743203253,PRJNA1110178,SAMN55971124,Metagenome or environmental,2205942421,PREBIOMICS S.R.L,2025-01-01,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX32287941,United Kingdom,Europe,United Kingdom: Nottingham,Illumina NovaSeq X Plus,52.9536 N 1.15047 W,UNINOT-012-INSP140_V1,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2026-02-26T00:00:00Z,2026-02-26T12:44:00Z,1,UNINOT-012-INSP140_V1,SRP506965,Homo sapiens,Gut,UNINOT-012-INSP140_V1,,,,,,
SRR37374508,WGS,295,6459487384,PRJNA1110178,SAMN55971122,Metagenome or environmental,2078949959,PREBIOMICS S.R.L,2025-01-01,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX32287938,United Kingdom,Europe,United Kingdom: Nottingham,Illumina NovaSeq X Plus,52.9536 N 1.15047 W,UNINOT-012-INSP181_V1,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2026-02-26T00:00:00Z,2026-02-26T12:14:00Z,1,UNINOT-012-INSP181_V1,SRP506965,Homo sapiens,Gut,UNINOT-012-INSP181_V1,,,,,,
SRR37374512,WGS,294,5790842403,PRJNA1110178,SAMN55971118,Metagenome or environmental,1956710461,PREBIOMICS S.R.L,2025-01-01,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX32287934,United Kingdom,Europe,United Kingdom: Nottingham,Illumina NovaSeq X Plus,52.9536 N 1.15047 W,UNINOT-012-INSP084_V1,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2026-02-26T00:00:00Z,2026-02-26T12:41:00Z,1,UNINOT-012-INSP084_V1,SRP506965,Homo sapiens,Gut,UNINOT-012-INSP084_V1,,,,,,
SRR37374517,WGS,291,6956258769,PRJNA1110178,SAMN55971113,Metagenome or environmental,2188584915,PREBIOMICS S.R.L,2025-01-01,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX32287929,United Kingdom,Europe,United Kingdom: Nottingham,Illumina NovaSeq X Plus,52.9536 N 1.15047 W,UNINOT-012-INSP047_V1,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2026-02-26T00:00:00Z,2026-02-26T12:08:00Z,1,UNINOT-012-INSP047_V1,SRP506965,Homo sapiens,Gut,UNINOT-012-INSP047_V1,,,,,,
SRR37767435,WGS,302,5891278288,PRJNA1442316,SAMN56693291,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",1673637893,HARBIN INSTITUTE OF TECHNOLOGY,2025-11-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32643473,China,Asia,"China: Heilongjiang\, Harbin",Illumina HiSeq 2500,45.7567 N 126.6424 E,LIB_Control_Middle,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2026-03-25T00:00:00Z,2026-03-25T00:42:00Z,1,Control-UASB-Middle,SRP686394,,,,wastewater,UASB reactor,anaerobic sludge,R2,middle,control
SRR37767436,WGS,302,5850000626,PRJNA1442316,SAMN56693290,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",1700054817,HARBIN INSTITUTE OF TECHNOLOGY,2025-11-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32643472,China,Asia,"China: Heilongjiang\, Harbin",Illumina HiSeq 2500,45.7567 N 126.6424 E,LIB_Control_Lower,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2026-03-25T00:00:00Z,2026-03-25T00:42:00Z,1,Control-UASB-Lower,SRP686394,,,,wastewater,UASB reactor,anaerobic sludge,R2,lower,control
SRR37767437,WGS,302,5950388446,PRJNA1442316,SAMN56693289,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",1701523463,HARBIN INSTITUTE OF TECHNOLOGY,2025-11-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32643471,China,Asia,"China: Heilongjiang\, Harbin",Illumina HiSeq 2500,45.7567 N 126.6424 E,LIB_WY4_Middle,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2026-03-25T00:00:00Z,2026-03-25T00:42:00Z,1,WY4-UASB-Middle,SRP686394,,,,wastewater,UASB reactor,anaerobic sludge,R1,middle,WY-4 bioaugmentation
SRR37767438,WGS,302,6102179082,PRJNA1442316,SAMN56693288,"MIMS.me,MIGS/MIMS/MIMARKS.wastewater",1723719663,HARBIN INSTITUTE OF TECHNOLOGY,2025-11-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32643470,China,Asia,"China: Heilongjiang\, Harbin",Illumina HiSeq 2500,45.7567 N 126.6424 E,LIB_WY4_Lower,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2026-03-25T00:00:00Z,2026-03-25T00:43:00Z,1,WY4-UASB-Lower,SRP686394,,,,wastewater,UASB reactor,anaerobic sludge,R1,lower,WY-4 bioaugmentation
